corso_codice,corso_descrizione,campus,ambiti,tipologia,lingue
9210,Medicine and Surgery,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,en
9211,Genomics,Bologna,Farmacia e biotecnologie,Laurea,en
9212,Biologia della salute,Bologna,Farmacia e biotecnologie,Laurea Magistrale,it
9213,Biotecnologie molecolari e industriali,Bologna,Farmacia e biotecnologie,Laurea Magistrale,it
9214,Management delle attività motorie e sportive,Bologna,Scienze motorie,Laurea Magistrale,it
9216,Filosofia,Bologna,Studi umanistici,Laurea,it
9217,Ingegneria dell'automazione,Bologna,Ingegneria e architettura,Laurea,it
9218,"Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione",Ravenna,Studi umanistici,Laurea Magistrale,it
9219,Farmacia,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,it
9220,"Italianistica, culture letterarie europee, scienze linguistiche",Bologna,Studi umanistici,Laurea Magistrale,it en
9222,Statistical Sciences,Bologna,Scienze Statistiche,Laurea Magistrale,en
9224,Digital Humanities and Digital Knowledge,Bologna,Studi umanistici,Laurea Magistrale,en
9225,Advanced Cosmetic Sciences,Rimini,Scienze,Laurea Magistrale,en
9228,Progettazione e gestione dell'intervento educativo nel disagio sociale,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,it
9229,Progettazione e gestione dell'intervento educativo nel disagio sociale,Rimini,Scienze dell’educazione e della formazione,Laurea Magistrale,it
9230,Consulente del lavoro e delle relazioni aziendali,Bologna,Giurisprudenza,Laurea,it
9232,Giurisprudenza,Bologna,Giurisprudenza,Laurea Magistrale a ciclo unico,it
9233,Giurisprudenza,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,it
9234,Ingegneria aerospaziale,Forlì,Ingegneria e architettura,Laurea,it
9235,Scienze e tecnologie agrarie,Bologna,Scienze agro-alimentari,Laurea Magistrale,it
9237,International Cooperation on Human Rights and Intercultural Heritage,Ravenna,"Studi umanistici, Scienze politiche",Laurea Magistrale,en
9239,Advanced Automotive Engineering,,Ingegneria e architettura,Laurea Magistrale,en
9242,Giurista per le imprese e per la pubblica amministrazione,Ravenna,Giurisprudenza,Laurea,it
9244,Fisica,Bologna,Scienze,Laurea,it
9245,Physics,Bologna,Scienze,Laurea Magistrale,it en
9246,Low Carbon Technologies and Sustainable Chemistry,Bologna,Scienze,Laurea Magistrale,en
9247,Scienze internazionali e diplomatiche,Forlì,Scienze politiche,Laurea Magistrale,it
9249,Offshore Engineering,Ravenna,Ingegneria e architettura,Laurea Magistrale,en
9254,Ingegneria informatica,Bologna,Ingegneria e architettura,Laurea,it
9256,Advanced design,Bologna,Ingegneria e architettura,Laurea Magistrale,it
9257,Scienze e gestione della natura,Bologna,Scienze,Laurea Magistrale,it en
9262,Chimica e tecnologia farmaceutiche,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,it
9263,Scienze e tecniche dell'attività motoria preventiva e adattata,Rimini,Scienze motorie,Laurea Magistrale,it
9264,"Lingue, mercati e culture dell'Asia e dell'Africa mediterranea",Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,it
9265,Architettura,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,it
9266,Biomedical Engineering,Cesena,Ingegneria e architettura,Laurea Magistrale,en
