annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,False,9233,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9233,Ravenna,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,it,libero
2023/2024,True,9234,Ingegneria aerospaziale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9234,Forlì,Forlì,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9235,Scienze e tecnologie agrarie,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9235,Bologna,Bologna,Scienze agro-alimentari,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,9237,International Cooperation on Human Rights and Intercultural Heritage,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9237,Ravenna,Ravenna,"Studi umanistici, Scienze politiche",Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9239,Advanced Automotive Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9239,,"Modena, Bologna",Ingegneria e architettura,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,9242,Giurista per le imprese e per la pubblica amministrazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9242,Ravenna,Ravenna,Giurisprudenza,Laurea,3,False,,,it,libero
2023/2024,True,9244,Fisica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9244,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9245,Physics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9245,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,9246,Low Carbon Technologies and Sustainable Chemistry,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9246,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9247,Scienze internazionali e diplomatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9247,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9249,Offshore Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9249,Ravenna,Ravenna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9254,Ingegneria informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9254,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9256,Advanced design,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9256,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9257,Scienze e gestione della natura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9257,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,False,9262,Chimica e tecnologia farmaceutiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9262,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,it,numero chiuso
2023/2024,True,9263,Scienze e tecniche dell'attività motoria preventiva e adattata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9263,Rimini,Rimini,Scienze motorie,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9264,"Lingue, mercati e culture dell'Asia e dell'Africa mediterranea",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9264,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,False,,,it,numero chiuso
2023/2024,True,9265,Architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9265,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,9266,Biomedical Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9266,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
